,title,overview,original_language,release_date,popularity,vote_count,vote_average
2164,The Twin,"Every parent's worst nightmare is just the beginning for Rachel's ordeal as in the aftermath of a tragic accident, she and her husband Anthony decide to move to the other side of the world to focus on their surviving twin son Elliot.  What begins as a time of healing and isolation in the Finnish countryside turns into a desperate battle for the very soul of their son as an entity claiming to be his dead twin brother takes over Elliot — setting Rachel on a diabolical journey to unravel the horrible truth about her twin son.",en,2022-04-06,30.166,159,6.0
2165,Rocky V,"A lifetime of taking shots has ended Rocky’s career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",en,1990-11-16,30.165,2828,5.8
2166,Annie,"Annie is a young, happy foster kid who's also tough enough to make her way on the streets of New York in 2014. Originally left by her parents as a baby with the promise that they'd be back for her someday, it's been a hard knock life ever since with her mean foster mom Miss Hannigan. But everything's about to change when the hard-nosed tycoon and New York mayoral candidate Will Stacks—advised by his brilliant VP and his shrewd and scheming campaign advisor—makes a thinly-veiled campaign move and takes her in. Stacks believes he's her guardian angel, but Annie's self-assured nature and bright, sun-will-come-out-tomorrow outlook on life just might mean it's the other way around.",en,2014-12-19,30.164,1199,6.2
2167,Cujo,"A friendly St. Bernard named ""Cujo"" contracts rabies and conducts a reign of terror on a small American town.",en,1983-08-10,30.147,856,6.1
2168,Hostel,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",en,2005-09-17,30.119,3222,5.9
2169,Fool's Gold,"Treasure hunter Ben ""Finn"" Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen's Dowry. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss, billionaire Nigel Honeycutt, along on the hunt. But Finn is not the only one interested in the gold; his former mentor-turned-enemy Moe Fitch, hired by rapper-turned-gangster Bigg Bunny, will stop at nothing to beat him to it.",en,2008-02-07,30.115,1329,5.7
2170,The Night Jane Went Insane,Sci-fi short. Is a woman going insane or are aliens involved?,en,2023-06-22,30.096,0,0.0
2171,Disobedience,"A woman learns about the death of her Orthodox Jewish father, a rabbi. She returns home and has romantic feelings rekindled for her best childhood friend, who is now married to her cousin.",en,2018-11-30,30.096,762,7.0
2172,Dawn of the Dead,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies.",en,2004-03-19,30.094,3499,7.0
2173,Naruto the Movie: Ninja Clash in the Land of Snow,"Naruto is thrilled when he is sent on a mission to protect his favorite actress, Yukie Fujikaze, on the set of her new movie, The Adventures of Princess Gale. But when the crew ventures out to film in the icy, foreboding Land of Snow, Yukie mysteriously flees! Naruto and his squad set off to find her... unaware that three Snow Ninja lie in wait, with a sinister purpose that will force Yukie to face her hidden past!",ja,2004-08-21,30.084,449,7.2
2174,Beautiful Sisters: Flesh Slave,A maniac breaks into the apartment of two sisters and abuses them sexually and physically until they turn the tables.,ja,1986-01-18,30.073,11,6.1
2175,Infidelity in Suburbia,"With her husband away at work, and her son at school, Laura dreams of a home-renovation project to supplant her restless days. Elliott, her irresistibly hot private contractor, soon fulfills her more forbidden dreams.",en,2017-02-25,30.053,133,6.4
2176,Cleopatra,"Determined to hold on to the throne, Cleopatra seduces the Roman emperor Julius Caesar. When Caesar is murdered, she redirects her attentions to his general, Marc Antony, who vows to take power—but Caesar’s successor has other plans.",en,1963-06-12,30.05,633,7.1
2177,Phineas and Ferb: The Movie: Across the 2nd Dimension,"Phineas and Ferb get trapped in an alternate dimension where the evil Doofenshmirtz rules the tri-state area. They must find a way back home with the help of their pet platypus named Perry, who they discover is a secret agent.",en,2011-08-05,30.049,473,7.0
2178,Cirque du Freak: The Vampire's Assistant,"Darren Shan is a regular teenage kid. He and his friend Steve find out about a Freak Show coming to town and work hard at trying to find tickets. They do, and together they go to ""Cirque du Freak"" where they see many strange acts including a wolf-man and a bearded lady",en,2009-10-23,30.041,977,5.8
2179,The Hateful Eight,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,en,2015-12-25,30.017,13049,7.7
2180,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.",ja,2019-08-30,30.015,466,8.2
2181,Mindcage,"Detectives Jake Doyle and Mary Kelly seek the help of an incarcerated serial killer named The Artist when a copycat killer strikes. While Mary searches for clues in The Artist's brilliant but twisted psyche, she and Jake are lured into a diabolical game of cat and mouse, racing against time to stay one step ahead of The Artist and his copycat.",en,2022-12-16,30.004,127,6.8
2182,Cat Pack: A PAW Patrol Exclusive Event,"When Mayor Humdinger transforms his robot cat Meow-Meow into a tiger-sized metal-eating menace, the PAW Patrol calls in the Cat Pack for help in the stopping the creature.",en,2022-06-24,30.002,71,7.4
2183,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",en,1996-01-19,29.984,5295,7.0
2184,The Closet,"After moving into a new house, a young girl begins displaying strange and disturbing behavior until, one day, she disappears behind a closet. While the devastated father is left with no clue about his daughter’s disappearance, an exorcist shows up to help.",ko,2020-02-05,29.974,144,7.3
2185,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",en,2002-06-20,29.969,7819,7.3
2186,Ocean's Eleven,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",en,2001-12-07,29.966,10554,7.4
2187,To Seduce an Enemy,"Yuki is a celebrity photographer who stumbles upon some unsettling information in this erotic suspense mystery. Two people wind up dead, and Yuki is convinced that a hypnotist is to blame. Now, it's up to Yuki to make the police believe that the improbable suspect really is the murderer before the ruthless killing continues.",cn,2003-01-16,29.963,5,4.5
2188,Prison Break: The Final Break,"The movie covers the events which occurred in between the downfall of The Company and the finale of the TV series (SEASON 4). It details the arrest and incarceration of Sara Tancredi, the final escape plan which Michael devises for Sara, and reveals the ultimate fate of Gretchen Morgan.",en,2009-05-24,29.958,571,7.5
2189,Disquiet,"After a near-fatal car accident, Sam wakes to discover he is trapped in an abandoned hospital by mysterious and sinister forces that have no intention of letting him leave…",en,2023-02-10,29.954,30,6.8
2190,He's All That,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",en,2021-08-27,29.95,1187,6.6
2191,Secretary,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",en,2002-09-20,29.947,1366,6.8
2192,The Fox and the Hound,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",en,1981-07-10,29.94,2890,7.1
2193,The Intern,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",en,2015-09-23,29.936,6072,7.2
2194,Rogue Agent,"The TRUE, extraordinary and chilling story of career conman Robert Freegard who masqueraded as an MI5 agent and fooled people into going into hiding, and the woman who fell for him, and then brought him down.",en,2022-08-12,29.923,123,6.4
2195,Anchorman: The Legend of Ron Burgundy,"It's the 1970s and San Diego anchorman Ron Burgundy is the top dog in local TV, but that's all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.",en,2004-06-28,29.917,3729,6.7
2196,We Have a Ghost,"After Kevin finds a ghost named Ernest haunting his new home, he becomes an overnight social media sensation. But when Kevin and Ernest go rogue to investigate the mystery of the latter's past, they become targets of the CIA.",en,2023-02-24,29.899,391,6.6
2197,Leap Year,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.",en,2010-01-08,29.891,1862,6.9
2198,Malcriados,,es,2023-02-15,29.881,45,7.9
2199,"Tango, Tequila and Some Lies","Lu has a perfect life. Or so she pretends to have. She meets the handsome, short-tempered Argentinian, Diego, who is on a visit to Mexico, and she is confident to get him head over heels in love with her. In order to win a wager with her friends, her life will take a turn when she does the impossible to win him over, including taking a trip to Argentina to look for him.",es,2023-03-09,29.873,68,7.3
2200,A View to a Kill,A newly-developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin who forms a plan to destroy his only competition in Silicon Valley by triggering a massive earthquake in the San Francisco Bay.,en,1985-05-24,29.846,1726,6.2
2201,Obscene House: Slave Wife,"Hyun-jung, who moved to a local mansion, was delighted with unexpected luck. She hated the noise between the floors so she wanted a quiet place with soundproofing. Since the tenants were mostly working couples, the mansion is quiet like a haunted city.",ko,2020-02-06,29.844,1,1.0
2202,Halloween,"Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",en,2018-10-18,29.837,4254,6.5
2203,The Call of Sex,A man finds a woman that reminds him of his long lost love: his step-sister with whom he initiated his sex life. But he is married and his wife wants proof of the cheating to get a divorce.,es,1977-06-25,29.826,12,4.4
2204,The Last Samurai,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",en,2003-12-05,29.826,6164,7.6
2205,Capturing Avatar,"Capturing Avatar is a feature length behind-the-scenes documentary about the making of Avatar. It uses footage from the film's development, as well as stock footage from as far back as the production of Titanic in 1995. Also included are numerous interviews with cast, artists, and other crew members. The documentary was released as a bonus feature on the extended collector's edition of Avatar.",en,2010-11-16,29.823,65,7.8
2206,Mom's Friend,"Seong Soo, a twenty years old boy, decided to move to Seoul after being accepted into Seoul University. However, he was a victim of real estate scam. He then moves into his mother's friend's house. Moreover, it turns out that his mother's friend is a sexy self-employed mother and Seong Soo is attracted to her.",ko,2015-08-20,29.817,7,6.2
2207,Barbie: Epic Road Trip,"In this interactive adventure, Barbie goes on a cross-country trek with friends and makes big decisions about the future. Which dream will she choose?",en,2022-10-25,29.813,14,6.9
2208,Emmanuelle 3,Emmanuelle and her architect husband continue their amoral lifestyle in the Seychelles. But when a casual dilliance between her and a film director starts to turn serious her husband shows very traditional signs of jealousy.,fr,1977-10-14,29.806,48,4.3
2209,How to Train Your Dragon: Homecoming,"It's been ten years since the dragons moved to the Hidden World, and even though Toothless doesn't live in New Berk anymore, Hiccup continues the holiday traditions he once shared with his best friend. But the Vikings of New Berk were beginning to forget about their friendship with dragons. Hiccup, Astrid, and Gobber know just what to do to keep the dragons in the villagers' hearts. And across the sea, the dragons have a plan of their own...",en,2019-10-25,29.8,817,8.1
2210,Looop Lapeta,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",hi,2022-02-04,29.791,56,6.1
2211,Sully,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the Hudson River, saving the lives of all 155 souls aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.",en,2016-09-07,29.778,6561,7.2
2212,Cloverfield,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",en,2008-01-15,29.752,6402,6.7
2213,The BFG,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",en,2016-06-01,29.751,3065,6.3
2214,The Last Witch Hunter,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",en,2015-10-21,29.74,3298,5.9
2215,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",en,2000-10-11,29.726,13376,8.2
2216,The Secret World of Arrietty,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.",ja,2010-07-16,29.714,2477,7.6
2217,Live Free or Die Hard,"John McClane is back and badder than ever, and this time he's working for Homeland Security. He calls on the services of a young hacker in his bid to stop a ring of Internet terrorists intent on taking control of America's computer infrastructure.",en,2007-06-20,29.709,5253,6.6
2218,Beneath the Surface,"A young woman survives a great white shark attack, whilst on a family boating vacation, however soon realizes the nightmare is far from over. Those around her can not be trusted, and she must face her demons, if she is to step back in the water.",en,2022-04-01,29.689,57,6.8
2219,The Wedding Ringer,"Doug Harris is a loveable but socially awkward groom-to-be with a problem: he has no best man.  With less than two weeks to go until he marries the girl of his dreams, Doug is referred to Jimmy Callahan, owner and CEO of Best Man, Inc., a company that provides flattering best men for socially challenged guys in need.  What ensues is a hilarious wedding charade as they try to pull off the big con, and an unexpected budding bromance between Doug and his fake best man Jimmy.",en,2015-01-16,29.663,1468,6.5
2220,Pornomelancholia,"Lalo is a sex influencer: he posts photos of his naked body and homemade porn videos for his thousands of social media followers. Lalo directs his own life, but in private, when out of character, he seems to live in constant melancholy.",es,2023-06-21,29.659,0,0.0
2221,Significant Other,"Ruth and Harry decide to take a romantic backpacking trip through the Pacific Northwest, but amongst the beautiful scenery, Ruth makes an unexpected discovery that sets her off on a strange, frightening new path. The couple aren't alone in the woods, and they might not be the same when they come out...if they come out.",en,2022-10-06,29.653,146,6.0
2222,Run Hide Fight,"A 17-year-old girl uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters.",en,2021-06-17,29.653,216,6.8
2223,The Grandmother,"Susana leaves her life in Paris, where she works as a model, and returns to Madrid to take care of her grandmother Pilar.",es,2022-01-28,29.649,364,5.9
2224,The Biggest Little Farm: The Return,"This special follows the farmers' 10-year tireless journey as they transform the land into a magical working farm and document the whole process in this heartwarming special that is akin to a real-life ""Charlotte’s Web.""",en,2022-04-22,29.636,27,7.4
2225,What Men Want,"Magically able to hear what men are thinking, a sports agent uses her newfound ability to turn the tables on her overbearing male colleagues.",en,2019-02-08,29.634,1211,6.2
2226,Lord of War,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience.",en,2005-09-16,29.621,4162,7.3
2227,Trigun: Badlands Rumble,"In a quicksand surrounded town called Makka, rumors spread of a legendary robber named Gasback is after the town. To protect it, Mayor Kepler has hired bounty hunters. These hunters have been following Gasback from town to town in hopes of getting the bounty. Vash the Stampede is in town, along with Meryl and Milly, along with the female bounty hunter Amelia and Nicholas D. Wolfwood.",ja,2011-07-11,29.597,140,7.5
2228,Birdman or (The Unexpected Virtue of Ignorance),"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",en,2014-10-17,29.575,11982,7.5
2229,Zodiac,A cartoonist teams up with an ace reporter and a law enforcement officer to track down an elusive serial killer.,en,2007-03-02,29.573,9344,7.5
2230,The Wolfman,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",en,2010-02-10,29.572,1795,5.8
2231,The Dark Tower,A boy haunted by visions of a parallel world aids its disillusioned guardian in preventing the destruction of the nexus of universes known as the Dark Tower.,en,2017-08-03,29.564,4590,5.7
2232,Drag Me to Hell,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.",en,2009-03-15,29.556,3277,6.4
2233,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",en,1980-05-20,29.548,15444,8.4
2234,Fantastic Four,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",en,2015-08-05,29.546,5562,4.4
2235,New Gods: Nezha Reborn,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",zh,2021-02-06,29.543,356,8.1
2236,Paranormal Activity,"After a young, middle-class couple moves into what seems like a typical suburban house, they become increasingly disturbed by a presence that may or may not be demonic but is certainly the most active in the middle of the night.  Followed by five terrifying installments in the franchise, this is the original found-footage shocker that started it all.",en,2007-09-14,29.541,4580,6.0
2237,Total Recall,"Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Recall, a company who manufacture memories. Something goes wrong during his memory implant turning Doug's life upside down and even to question what is reality and what isn't.",en,1990-06-01,29.531,5122,7.3
2238,Vanilla Sky,"David Aames has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia, his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.",en,2001-12-10,29.521,3695,6.8
2239,Sex Is Zero,"Eunsik tries to pass the state exam while studying in college after his military service. One day, he meets a beautiful woman Eunhyo, and his life changes.",ko,2002-12-12,29.515,85,6.1
2240,800 Bullets,"Almería, Tabernas desert, Spain, 2002. Texas Hollywood is a dilapidated and dusty town where Western movies have not been shot for decades. Julián Torralba and his partners, veteran film stuntmen, survive there, recreating pathetic action scenes for the pleasure of the few foreign tourists who visit the isolated region.",es,2002-10-18,29.511,77,6.0
2241,Diary of a Wimpy Kid,"Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!",en,2010-03-19,29.507,1396,6.2
2242,Instant Family,"When Pete and Ellie decide to start a family, they stumble into the world of foster care adoption. They hope to take in one small child but when they meet three siblings, including a rebellious 15 year old girl, they find themselves speeding from zero to three kids overnight.",en,2018-11-16,29.489,2604,7.5
2243,Men in Black II,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",en,2002-07-03,29.489,9045,6.4
2244,Beetlejuice,"After an untimely death, a newly dead New England couple seek help from a deranged demon exorcist to scare an affluent New York family out of their home.",en,1988-03-30,29.485,5982,7.4
2245,The Hate U Give,"Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.",en,2018-10-19,29.482,1951,8.2
2246,Cats & Dogs: The Revenge of Kitty Galore,The ongoing war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest.,en,2010-07-28,29.479,567,5.2
2247,Now You See Me 2,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",en,2016-06-02,29.477,9999,6.8
2248,The Protégé,"Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.",en,2021-08-19,29.475,793,6.6
2249,Step-Brother,"Think about us, not mom or dad.  I want to be your man, not your brother.  Jae-hee has been with so many men who have made her experience worlds better than her first sexual encounter. She was beginning to get tired of men when her mother got re-married with a man who has a son named Yoon-jae. Jae-hee is attracted to him. In the end, they fall for each other and become something more than 'brother and sister'. Then one day, Jae-hee's mother gets pregnant and things get complicated...",ko,2016-09-20,29.463,1,5.0
2250,Don't Breathe,A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.,en,2016-06-08,29.458,6777,7.0
2251,New Police Story,"Sent into a drunken tailspin when his entire unit is killed by a gang of thrill-seeking punks, disgraced Hong Kong police inspector Wing needs help from his new rookie partner, with a troubled past of his own, to climb out of the bottle and track down the gang and its ruthless leader.",cn,2004-09-23,29.458,628,7.1
2252,The Unhealer,A botched faith healing leaves a bullied teenager with unusual powers.,en,2020-10-09,29.455,45,5.9
2253,Ri¢hie Ri¢h,"Billionaire heir Richie Rich has it all, including Reggie Jackson as a batting coach and Claudia Schiffer as a personal trainer -- but no playmates. What's more, scoundrel Laurence Van Dough is scheming to take over the family empire. Uh-oh! Enter faithful butler Cadbury to save the day.",en,1994-12-19,29.448,2036,5.9
2254,"Josee, the Tiger and the Fish","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",ja,2020-12-25,29.439,343,8.4
2255,A Serbian Film,"Milos, a retired porn star, leads a normal family life trying to make ends meet. Presented with the opportunity of a lifetime to financially support his family for the rest of their lives, Milos must participate in one last mysterious film. From then on, Milos is drawn into a maelstrom of unbelievable cruelty and mayhem.",sr,2010-06-16,29.43,1675,5.5
2256,Blade II,"A rare mutation has occurred within the vampire community - The Reaper. A vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into Reapers themselves. Blade is asked by the Vampire Nation for his help in preventing a nightmare plague that would wipe out both humans and vampires.",en,2002-03-22,29.418,4231,6.5
2257,Spy Kids 2: The Island of Lost Dreams,"Exploring the further adventures of Carmen and Juni Cortez, who have now joined the family spy business as Level 2 OSS agents. Their new mission is to save the world from a mad scientist living on a volcanic island populated by an imaginative menagerie of creatures. On this bizarre island, none of the Cortez's gadgets work and they must rely on their wits--and each other--to survive and save the day.",en,2002-08-07,29.404,1953,5.6
2258,Emmanuelle 7,"Through the wonders of virtual reality, Emmanuelle tries to help a former schoolmate to overcome a traumatic sexual past.",fr,1993-09-19,29.386,14,4.5
2259,Freaky Friday,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.",en,2003-08-05,29.367,3374,6.4
2260,Antz,"A neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.",en,1998-10-02,29.365,4048,6.1
2261,Surf's Up,"A young surfer enters his first contest, hoping a win will earn him respect. But an encounter with a laid-back local forces him to rethink his values.",en,2007-06-08,29.356,2198,6.4
2262,Revolt,"The story of humankind's last stand against a cataclysmic alien invasion. Set in the war-ravaged African countryside, a U.S. soldier and a French foreign aid worker team up to survive the alien onslaught. Their bond will be tested as they search for refuge across a crumbling world.",en,2017-07-01,29.35,310,5.5
2263,The Shop Around the Corner,"Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.",en,1940-01-12,29.349,610,8.3
2264,Kingdom: Ashin of the North,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family.",ko,2021-07-23,29.345,445,7.4
2265,Restart the Earth,"When a drug to replicate plant cells creates a sentient form of flower, the planet is over taken by flora and humankind is depleted. A Chinese task force, a widowed father and his young daughter fight to survive in a mission to inject an antidote to the core of the plants to reverse their growth.",zh,2021-09-03,29.324,118,6.8
2266,The Day of Swapping,"Min-ho and Jeong-il end up working with each other's wives one day. As time passes, the men feel attracted physically to their friend's wives. In the end, Jeong-il suggests to Min-ho, ""Let's not take sides and just be happy as the four of us!"" They start swapping each other.",ko,2017-07-10,29.323,8,4.9
2267,Fatherhood,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story.",en,2021-06-18,29.317,1188,7.6
2268,Vivo,A music-loving kinkajou named Vivo embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,en,2021-07-30,29.307,632,7.4
2269,Rogue One: A Star Wars Story,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,en,2016-12-14,29.303,14120,7.5
2270,Boogeyman,"Every culture has one – the horrible monster fueling young children's nightmares. But for Tim, the Boogeyman still lives in his memories as a creature that devoured his father 16 years earlier. Is the Boogeyman real? Or did Tim make him up to explain why his father abandoned his family?",en,2005-02-04,29.3,677,5.0
2271,Anna,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,fr,2019-06-19,29.292,2363,6.7
2272,Fifty Shades of Black,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,en,2016-01-28,29.29,1242,4.9
2273,Taya,"Sixto explores the dangerous world of online ending for his thesis and gets involved with Winona, Nieves and Nanette.",tl,2021-08-27,29.287,8,5.9
2274,Clean,"Tormented by a past life, garbage man Clean attempts a life of quiet redemption. But when his good intentions mark him a target of a local crime boss, Clean is forced to reconcile with the violence of his past.",en,2022-01-28,29.28,278,6.4
2275,In the Arms of an Assassin,"Victor (William Levy) is one of the world’s most handsome  men, but he has a deep secret – he is a cold blooded assassin. Smooth talking and seductive, Victor was raised to do one thing only, which is to kill for money. When he is sent to the home of a brutal drug lord to collect payment for his most recent hit, he encounters the beautiful Sarai (Alicia Sanz), who has been forced to spend the last 9 years of her life with the drug lord.",es,2019-12-06,29.271,339,8.0
